batch_number,name,unit_of_measurement,description,category,usage,owner,quantity
6753,ΦΟΡΗΤΟΣ Η/Υ HP NOTEBOOK PRO 250 G7,ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
6757,GRANDSTREAM 8 FXS,ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
7878, PC EXPERT ON DEMAND 17,ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
7881, MOUSE DELL,ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
7882, KEYBOARD DELL,ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
7883, ROUTER CISCO 1700 ETHERNET,ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
7884, H/Y SERVER FUJITSU SIEMENS TX 200,ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
7885, EXPERT PC BEAST 66 SPECIAL,ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
7886, ΟΘΟΝΗ HP P24V G4FHD,ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
7887, H/Y DELL PER 330/E (SERVER RACK),ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
7888, AOC MONITOR (ΟΘΟΝΗ),ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
7889, ΕΚΤΥΠΩΤΗΣ LASER BROTHER HL -L2310D,ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
7890, MOBAXTERN (ΛΟΓΙΣΜΙΚΟ),ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
7891, WESTERN DIGITAL MY CLOUD EX2 ULTRA,ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
7892, WESTERN DIGITAL RED 4ΤΒ (ΣΚΛΗΡΟΣ ΔΙΣΚΟΣ),ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
